"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Проверка создания пользователя(POST /api/v1/users)
        ","725","Create user","LMS service","2026-07-10","passed","2026-07-10","Create entity","Users","",""
"","22","Get courses","LMS service","2026-07-10","passed","2026-07-10","Get entities","Courses","",""
"","23","Create course","LMS service","2026-07-10","passed","2026-07-10","Create entity","Courses","",""
"","23","Create exercise","LMS service","2026-07-10","passed","2026-07-10","Create entity","Exercises","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","467","Create user","LMS service","2026-07-10","passed","2026-07-10","Create entity","Users","",""
"","15","Get exercises","LMS service","2026-07-10","passed","2026-07-10","Get entities","Exercises","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","517","Create user","LMS service","2026-07-10","passed","2026-07-10","Create entity","Users","",""
"","16","Update exercise","LMS service","2026-07-10","passed","2026-07-10","Update entity","Exercises","",""
"","504","Login with correct email and password","LMS service","2026-07-10","passed","2026-07-10","Login","Authentication","",""
"","16","Get file with incorrect file id","LMS service","2026-07-10","passed","2026-07-10","Validate entity","Files","",""
"","12","Get file","LMS service","2026-07-10","passed","2026-07-10","Get entity","Files","",""
"","12","Create file with empty directory","LMS service","2026-07-10","skipped","2026-07-10","Validate entity","Files","",""
"","531","Get exercise","LMS service","2026-07-10","passed","2026-07-10","Get entity","Exercises","",""
"","244","Create file with empty filename","LMS service","2026-07-10","skipped","2026-07-10","Validate entity","Files","",""
"","269","Delete file","LMS service","2026-07-10","passed","2026-07-10","Delete entity","Files","",""
"","18","Delete exercise","LMS service","2026-07-10","passed","2026-07-10","Delete entity","Exercises","",""
"","253","Create file","LMS service","2026-07-10","passed","2026-07-10","Create entity","Files","",""
"","14","Get user me","LMS service","2026-07-10","passed","2026-07-10","Get entity","Users","",""
"","33","Update course","LMS service","2026-07-10","passed","2026-07-10","Update entity","Courses","",""
